id;start_date;end_date;language
1;2019-12-13T06:01:31;2019-12-12T23:09:48;FRENCH
2;2019-12-12T16:37:47;2019-12-13T05:23:28;ENGLISH
3;2019-12-12T16:04:13;2019-12-12T18:00:33;FRENCH
4;2019-12-13T03:50:03;2019-12-12T20:11:42;ENGLISH
5;2019-12-13T06:59:38;2019-12-13T07:34:36;FRENCH
6;2019-12-12T13:14:56;2019-12-12T10:16:18;SPANISH
7;2019-12-12T22:25:00;2019-12-13T01:28:07;ENGLISH
8;2019-12-13T00:12:57;2019-12-13T08:37:35;FRENCH
9;2019-12-13T00:47:21;2019-12-13T09:24:45;ENGLISH
10;2019-12-12T17:58:17;2019-12-12T17:21:53;SPANISH
